transaction_id,customer_id,account_id,amount,merchant,transaction_type,country,device_id,transaction_time,fraud_flag
10225,89,1026,12340.26,Zomato,ATM WITHDRAWAL,Russia,Tablet,2026-05-05T07:57:53.000Z,INTERNATIONAL
10267,26,1156,16111.1,Nike,ATM WITHDRAWAL,Russia,Mobile,2026-04-27T14:10:49.000Z,INTERNATIONAL
10271,73,1147,44783.96,Uber,UPI,Usa,Tablet,2026-05-11T20:30:44.000Z,INTERNATIONAL
10282,29,1020,37589.06,Uber,UPI,Usa,Laptop,2026-04-26T09:20:36.000Z,INTERNATIONAL
10283,83,1164,59735.01,Nike,ATM WITHDRAWAL,Usa,Mobile,2026-05-02T14:49:38.000Z,INTERNATIONAL
10294,63,1001,13167.3,Flipkart,UPI,Singapore,Tablet,2026-04-22T08:57:45.000Z,INTERNATIONAL
10309,85,1094,57065.45,Nike,UPI,Uk,Laptop,2026-05-12T22:29:35.000Z,INTERNATIONAL
10358,19,1160,95868.07,Zomato,CARD,Singapore,Tablet,2026-04-23T04:19:51.000Z,INTERNATIONAL
10365,85,1083,4306.98,Flipkart,CARD,Russia,Tablet,2026-05-18T02:40:21.000Z,INTERNATIONAL
10377,71,1138,59535.55,Flipkart,NET BANKING,Germany,Mobile,2026-05-16T06:47:25.000Z,INTERNATIONAL
10391,38,1007,45966.96,Swiggy,NET BANKING,Uk,Tablet,2026-05-14T06:30:47.000Z,INTERNATIONAL
10417,68,1032,48761.42,Nike,NET BANKING,Singapore,Mobile,2026-04-24T01:42:57.000Z,INTERNATIONAL
10421,14,1163,91781.23,Walmart,ATM WITHDRAWAL,India,Laptop,2026-05-14T17:30:47.000Z,NORMAL
10422,10,1038,59486.16,Uber,CARD,Germany,Mobile,2026-05-15T13:30:44.000Z,INTERNATIONAL
10425,2,1126,26841.31,Petrol Pump,UPI,Uk,Laptop,2026-05-17T14:43:20.000Z,INTERNATIONAL
10428,50,1034,34082.77,Uber,ATM WITHDRAWAL,India,Tablet,2026-04-24T15:57:51.000Z,NORMAL
10431,66,1090,82103.82,Zomato,NET BANKING,Germany,ATM,2026-05-04T19:15:14.000Z,INTERNATIONAL
10446,54,1062,92368.45,Petrol Pump,UPI,Uk,ATM,2026-04-19T00:54:42.000Z,INTERNATIONAL
10452,7,1140,97605.84,Walmart,ATM WITHDRAWAL,Germany,Laptop,2026-05-17T12:47:55.000Z,INTERNATIONAL
10456,53,1121,6800.68,Walmart,UPI,Usa,Laptop,2026-05-06T22:15:45.000Z,INTERNATIONAL
10461,9,1166,20939.75,Apple Store,CARD,Uk,Laptop,2026-05-12T07:07:42.000Z,INTERNATIONAL
10466,55,1127,87375.53,Apple Store,CARD,Singapore,Tablet,2026-05-09T05:58:32.000Z,INTERNATIONAL
10468,37,1130,18428.07,Uber,NET BANKING,Russia,ATM,2026-04-19T13:23:18.000Z,INTERNATIONAL
10483,19,1069,40568.79,Uber,ATM WITHDRAWAL,Uk,ATM,2026-04-19T21:12:39.000Z,INTERNATIONAL
10535,81,1076,94204.11,Netflix,CARD,Russia,Mobile,2026-05-09T11:05:11.000Z,INTERNATIONAL
10570,2,1026,73031.1,Zomato,CARD,Uk,ATM,2026-04-29T22:10:29.000Z,INTERNATIONAL
10577,42,1179,66560.69,Uber,CARD,Usa,Laptop,2026-05-10T19:04:36.000Z,INTERNATIONAL
10631,5,1108,47280.54,Flipkart,NET BANKING,Uk,ATM,2026-04-24T19:11:57.000Z,INTERNATIONAL
10651,40,1128,89756.02,Uber,UPI,Russia,Tablet,2026-05-01T16:57:13.000Z,INTERNATIONAL
10658,24,1142,85793.12,Nike,ATM WITHDRAWAL,Uk,Tablet,2026-04-22T13:37:50.000Z,INTERNATIONAL
10666,5,1170,75283.73,Nike,NET BANKING,India,ATM,2026-04-24T12:48:14.000Z,NORMAL
10672,40,1162,50535.85,Zomato,UPI,India,Tablet,2026-04-26T18:14:23.000Z,NORMAL
10676,56,1091,66651.14,Flipkart,NET BANKING,Usa,Laptop,2026-04-28T14:26:50.000Z,INTERNATIONAL
10678,43,1174,92787.53,Zomato,NET BANKING,Russia,Tablet,2026-04-24T09:33:23.000Z,INTERNATIONAL
10692,15,1136,7049.17,Flipkart,UPI,Uk,ATM,2026-05-05T07:03:25.000Z,INTERNATIONAL
10709,7,1178,99773.96,Uber,ATM WITHDRAWAL,India,ATM,2026-04-19T14:27:53.000Z,NORMAL
10711,99,1016,88370.64,Swiggy,UPI,Usa,Tablet,2026-04-25T09:57:32.000Z,INTERNATIONAL
10712,25,1129,87251.77,Petrol Pump,NET BANKING,Usa,ATM,2026-04-26T21:40:11.000Z,INTERNATIONAL
10713,10,1011,31813.87,Nike,CARD,India,Tablet,2026-05-09T23:25:10.000Z,NORMAL
10715,39,1102,42526.47,Flipkart,UPI,Singapore,Laptop,2026-05-08T05:54:22.000Z,INTERNATIONAL
10754,64,1172,1769.35,Nike,ATM WITHDRAWAL,Russia,Tablet,2026-05-15T16:20:09.000Z,INTERNATIONAL
10758,49,1130,44539.92,Apple Store,CARD,Singapore,Tablet,2026-04-19T09:17:07.000Z,INTERNATIONAL
10778,58,1074,47602.23,Swiggy,UPI,Singapore,ATM,2026-05-06T03:35:30.000Z,INTERNATIONAL
10781,25,1090,996.77,Zomato,NET BANKING,Russia,Mobile,2026-04-30T20:34:23.000Z,INTERNATIONAL
10792,32,1010,84623.76,Apple Store,CARD,India,ATM,2026-05-16T13:35:49.000Z,NORMAL
10811,53,1096,33374.32,Petrol Pump,UPI,Germany,Tablet,2026-04-30T10:07:50.000Z,INTERNATIONAL
10815,2,1121,18483.29,Amazon,UPI,Singapore,Mobile,2026-04-28T06:58:44.000Z,INTERNATIONAL
10834,43,1129,90039.89,Netflix,ATM WITHDRAWAL,India,Tablet,2026-05-04T17:16:33.000Z,NORMAL
10848,6,1086,56025.99,Amazon,UPI,Russia,Laptop,2026-04-26T07:28:50.000Z,INTERNATIONAL
10863,81,1155,5572.47,Walmart,CARD,Uk,Mobile,2026-05-10T16:29:57.000Z,INTERNATIONAL
10867,62,1015,79752.46,Swiggy,ATM WITHDRAWAL,Singapore,Laptop,2026-04-18T23:47:58.000Z,INTERNATIONAL
10889,93,1147,61924.81,Uber,UPI,Uk,Mobile,2026-05-05T23:04:31.000Z,INTERNATIONAL
10909,26,1132,23591.61,Nike,UPI,Singapore,Tablet,2026-04-19T19:23:11.000Z,INTERNATIONAL
10925,99,1021,24116.93,Netflix,NET BANKING,Uk,Laptop,2026-05-05T07:27:08.000Z,INTERNATIONAL
10936,71,1010,77559.64,Zomato,CARD,Germany,Mobile,2026-05-12T19:51:40.000Z,INTERNATIONAL
10937,74,1144,86354.09,Apple Store,NET BANKING,Usa,Laptop,2026-05-15T09:15:36.000Z,INTERNATIONAL
10976,87,1021,37179.14,Nike,CARD,Uk,ATM,2026-05-16T17:02:49.000Z,INTERNATIONAL
10990,58,1156,53817.79,Walmart,CARD,Uk,Laptop,2026-04-20T03:20:52.000Z,INTERNATIONAL
11002,88,1030,70334.66,Nike,ATM WITHDRAWAL,India,Tablet,2026-05-01T16:30:09.000Z,NORMAL
11022,49,1135,83486.97,Apple Store,ATM WITHDRAWAL,Uk,ATM,2026-05-01T10:26:41.000Z,INTERNATIONAL
11035,79,1006,71178.8,Uber,CARD,Singapore,Laptop,2026-04-30T04:08:03.000Z,INTERNATIONAL
11049,80,1015,40352.88,Apple Store,CARD,Uk,Mobile,2026-05-04T04:53:40.000Z,INTERNATIONAL
11080,80,1075,24168.4,Walmart,ATM WITHDRAWAL,Russia,ATM,2026-04-30T07:54:02.000Z,INTERNATIONAL
11118,43,1147,10370.97,Amazon,ATM WITHDRAWAL,Uk,ATM,2026-04-30T11:04:22.000Z,INTERNATIONAL
11134,58,1171,84920.41,Amazon,UPI,Singapore,Mobile,2026-04-24T23:04:59.000Z,INTERNATIONAL
11137,56,1008,67408.61,Apple Store,UPI,Germany,Tablet,2026-05-01T06:13:47.000Z,INTERNATIONAL
11147,53,1186,12065.53,Uber,ATM WITHDRAWAL,Uk,Tablet,2026-05-08T19:14:56.000Z,INTERNATIONAL
11183,78,1076,73015.87,Uber,CARD,Uk,Laptop,2026-05-05T14:15:33.000Z,INTERNATIONAL
11191,13,1171,3948.56,Walmart,CARD,Uk,Mobile,2026-05-16T01:24:52.000Z,INTERNATIONAL
11214,30,1025,94277.4,Uber,CARD,Singapore,ATM,2026-04-29T20:56:24.000Z,INTERNATIONAL
11231,23,1112,52852.2,Zomato,UPI,Uk,Laptop,2026-05-10T05:00:53.000Z,INTERNATIONAL
11250,25,1125,41847.84,Nike,NET BANKING,Usa,Mobile,2026-05-03T06:48:03.000Z,INTERNATIONAL
11295,30,1106,57773.45,Zomato,NET BANKING,Usa,Laptop,2026-04-26T01:16:22.000Z,INTERNATIONAL
11316,49,1122,46157.77,Netflix,NET BANKING,Singapore,Tablet,2026-04-21T09:59:23.000Z,INTERNATIONAL
11332,30,1176,14063.59,Petrol Pump,CARD,Germany,Mobile,2026-05-11T21:24:01.000Z,INTERNATIONAL
11341,31,1053,974.58,Walmart,UPI,Uk,ATM,2026-05-14T18:09:08.000Z,INTERNATIONAL
11362,77,1036,41466.92,Netflix,NET BANKING,Usa,Laptop,2026-05-09T00:08:27.000Z,INTERNATIONAL
11367,50,1121,30626.45,Apple Store,ATM WITHDRAWAL,Singapore,Tablet,2026-05-05T15:39:24.000Z,INTERNATIONAL
11378,16,1099,8585.08,Amazon,CARD,Usa,Laptop,2026-05-08T21:21:37.000Z,INTERNATIONAL
11398,82,1091,11671.83,Netflix,CARD,Uk,Mobile,2026-04-27T04:58:51.000Z,INTERNATIONAL
11433,73,1032,32985.12,Petrol Pump,UPI,Germany,Tablet,2026-05-13T08:48:57.000Z,INTERNATIONAL
11437,10,1074,96826.39,Amazon,CARD,Germany,Tablet,2026-05-15T06:39:47.000Z,INTERNATIONAL
11449,55,1061,36584.76,Petrol Pump,ATM WITHDRAWAL,Germany,Mobile,2026-05-13T15:49:20.000Z,INTERNATIONAL
11458,97,1058,49575.32,Petrol Pump,UPI,Uk,Tablet,2026-05-13T20:00:53.000Z,INTERNATIONAL
11482,84,1172,96318.39,Uber,CARD,Singapore,ATM,2026-05-06T12:12:39.000Z,INTERNATIONAL
11491,57,1132,52120.1,Apple Store,UPI,Germany,Tablet,2026-05-02T18:10:52.000Z,INTERNATIONAL
11495,64,1195,77445.49,Swiggy,CARD,Germany,Tablet,2026-04-25T19:59:43.000Z,INTERNATIONAL
11503,72,1074,38903.44,Nike,CARD,Russia,Tablet,2026-05-09T12:38:43.000Z,INTERNATIONAL
11510,93,1106,59838.72,Flipkart,NET BANKING,Singapore,Mobile,2026-05-15T09:26:09.000Z,INTERNATIONAL
11515,23,1169,63288.84,Nike,CARD,Singapore,Mobile,2026-04-27T23:27:48.000Z,INTERNATIONAL
11528,45,1200,61338.48,Swiggy,CARD,Germany,Tablet,2026-04-28T04:09:09.000Z,INTERNATIONAL
11554,38,1128,70404.15,Swiggy,UPI,India,ATM,2026-04-26T00:51:15.000Z,NORMAL
11571,55,1090,70000.34,Nike,NET BANKING,Russia,Tablet,2026-04-21T00:17:42.000Z,INTERNATIONAL
11582,50,1024,174.96,Apple Store,NET BANKING,India,Tablet,2026-04-29T17:47:35.000Z,NORMAL
11592,4,1102,45814.01,Nike,CARD,India,Tablet,2026-05-12T05:09:30.000Z,NORMAL
11595,71,1134,80210.02,Uber,ATM WITHDRAWAL,Usa,Mobile,2026-04-23T00:48:26.000Z,INTERNATIONAL
11612,70,1048,96329.06,Petrol Pump,ATM WITHDRAWAL,India,ATM,2026-05-16T04:39:26.000Z,NORMAL
11624,41,1135,41117.26,Petrol Pump,CARD,Usa,Mobile,2026-05-10T12:53:19.000Z,INTERNATIONAL
11629,73,1071,79823.04,Apple Store,CARD,India,ATM,2026-04-24T09:09:14.000Z,NORMAL
11637,58,1192,31856.31,Petrol Pump,CARD,Russia,Tablet,2026-04-19T11:42:52.000Z,INTERNATIONAL
11638,91,1027,20539.24,Amazon,UPI,Singapore,Mobile,2026-05-14T05:55:33.000Z,INTERNATIONAL
11656,41,1065,54410.33,Flipkart,NET BANKING,India,ATM,2026-05-18T01:48:48.000Z,NORMAL
11675,38,1102,75131.7,Uber,ATM WITHDRAWAL,Usa,ATM,2026-04-23T05:08:48.000Z,INTERNATIONAL
11678,59,1004,95257.54,Uber,UPI,Russia,Tablet,2026-05-13T08:39:20.000Z,INTERNATIONAL
11683,54,1109,40011.18,Petrol Pump,ATM WITHDRAWAL,Germany,Mobile,2026-04-20T00:09:59.000Z,INTERNATIONAL
11690,100,1100,62420.83,Amazon,ATM WITHDRAWAL,Russia,Tablet,2026-04-20T06:37:44.000Z,INTERNATIONAL
11701,32,1056,65800.12,Netflix,ATM WITHDRAWAL,Uk,ATM,2026-05-05T11:50:22.000Z,INTERNATIONAL
11728,62,1100,94432.98,Nike,ATM WITHDRAWAL,Usa,ATM,2026-05-09T01:27:45.000Z,INTERNATIONAL
11729,71,1035,55098.27,Nike,NET BANKING,Russia,Tablet,2026-05-08T15:55:52.000Z,INTERNATIONAL
11730,58,1093,67986.61,Amazon,ATM WITHDRAWAL,India,Laptop,2026-05-06T09:10:52.000Z,NORMAL
11737,16,1116,10813.21,Amazon,ATM WITHDRAWAL,Singapore,Laptop,2026-05-17T00:43:21.000Z,INTERNATIONAL
11741,12,1087,73593.52,Swiggy,UPI,Russia,ATM,2026-04-21T00:29:37.000Z,INTERNATIONAL
11743,7,1087,45665.01,Petrol Pump,NET BANKING,India,ATM,2026-05-04T01:00:34.000Z,NORMAL
11758,79,1059,88466.51,Nike,CARD,Uk,Tablet,2026-05-09T17:45:38.000Z,INTERNATIONAL
11759,10,1009,12208.69,Swiggy,UPI,Germany,Mobile,2026-05-04T15:30:08.000Z,INTERNATIONAL
11777,100,1166,25754.25,Uber,CARD,Usa,ATM,2026-05-08T20:51:51.000Z,INTERNATIONAL
11778,13,1022,62112.49,Nike,NET BANKING,Singapore,Mobile,2026-04-27T08:46:09.000Z,INTERNATIONAL
11782,14,1028,36982.21,Apple Store,UPI,Usa,Laptop,2026-05-01T04:00:29.000Z,INTERNATIONAL
11788,81,1043,77379.23,Uber,UPI,Singapore,ATM,2026-05-03T11:13:48.000Z,INTERNATIONAL
11790,16,1078,98733.47,Flipkart,CARD,Germany,Mobile,2026-04-19T12:54:12.000Z,INTERNATIONAL
11826,47,1186,89087.08,Uber,UPI,Singapore,Mobile,2026-05-17T09:37:02.000Z,INTERNATIONAL
11840,5,1059,92050.4,Zomato,ATM WITHDRAWAL,Russia,Mobile,2026-04-26T08:14:25.000Z,INTERNATIONAL
11870,94,1141,13587.86,Petrol Pump,NET BANKING,Usa,Laptop,2026-05-05T07:40:21.000Z,INTERNATIONAL
11891,40,1174,81389.79,Flipkart,ATM WITHDRAWAL,Russia,ATM,2026-05-10T14:17:20.000Z,INTERNATIONAL
11895,6,1090,85208.76,Flipkart,ATM WITHDRAWAL,Singapore,ATM,2026-04-27T01:53:21.000Z,INTERNATIONAL
11897,37,1105,49504.78,Amazon,NET BANKING,Germany,ATM,2026-05-17T09:46:55.000Z,INTERNATIONAL
11922,67,1071,5232.9,Flipkart,CARD,India,ATM,2026-05-12T00:05:47.000Z,NORMAL
11955,32,1037,23986.71,Netflix,CARD,Usa,Laptop,2026-05-16T17:18:15.000Z,INTERNATIONAL
11961,96,1159,19514.29,Apple Store,ATM WITHDRAWAL,Usa,Tablet,2026-05-03T04:22:55.000Z,INTERNATIONAL
11985,77,1107,44034.12,Zomato,ATM WITHDRAWAL,Russia,Laptop,2026-04-21T21:19:20.000Z,INTERNATIONAL
11988,91,1159,72972.19,Petrol Pump,NET BANKING,Germany,Laptop,2026-05-04T03:44:02.000Z,INTERNATIONAL
12008,81,1076,73492.29,Apple Store,UPI,Russia,Mobile,2026-04-30T10:03:11.000Z,INTERNATIONAL
12012,44,1139,44347.79,Flipkart,NET BANKING,Russia,Mobile,2026-05-13T00:09:02.000Z,INTERNATIONAL
12057,39,1128,92487.45,Petrol Pump,ATM WITHDRAWAL,Usa,Mobile,2026-05-13T22:52:44.000Z,INTERNATIONAL
12079,69,1016,27946.59,Nike,UPI,Usa,ATM,2026-04-21T07:31:09.000Z,INTERNATIONAL
12086,28,1072,68753.75,Walmart,CARD,Russia,Tablet,2026-05-09T10:55:37.000Z,INTERNATIONAL
12092,71,1169,5963.81,Nike,NET BANKING,Singapore,ATM,2026-05-01T02:02:17.000Z,INTERNATIONAL
12104,43,1061,44807.5,Walmart,CARD,India,Laptop,2026-04-19T00:02:57.000Z,NORMAL
12109,68,1066,84427.71,Uber,UPI,Singapore,Tablet,2026-04-22T02:31:02.000Z,INTERNATIONAL
12122,60,1075,82533.3,Walmart,ATM WITHDRAWAL,Singapore,Tablet,2026-04-24T18:56:06.000Z,INTERNATIONAL
12131,49,1069,23925.11,Amazon,NET BANKING,Russia,Mobile,2026-05-13T09:14:27.000Z,INTERNATIONAL
12150,73,1190,51043.48,Walmart,CARD,Usa,Mobile,2026-04-25T17:44:03.000Z,INTERNATIONAL
12155,8,1093,17699.25,Flipkart,CARD,Singapore,ATM,2026-04-29T07:34:24.000Z,INTERNATIONAL
12169,42,1179,57078.63,Uber,UPI,Singapore,Mobile,2026-05-10T17:54:06.000Z,INTERNATIONAL
12177,47,1196,28006.43,Uber,ATM WITHDRAWAL,Russia,ATM,2026-05-08T08:57:26.000Z,INTERNATIONAL
12189,31,1097,72590.9,Uber,NET BANKING,Germany,ATM,2026-04-18T11:26:40.000Z,INTERNATIONAL
12225,32,1020,77515.67,Petrol Pump,CARD,Germany,Mobile,2026-04-27T06:53:00.000Z,INTERNATIONAL
12241,2,1097,62873.05,Amazon,ATM WITHDRAWAL,Usa,Tablet,2026-04-29T19:48:17.000Z,INTERNATIONAL
12242,38,1145,96758.63,Uber,CARD,Singapore,Mobile,2026-05-09T10:44:08.000Z,INTERNATIONAL
12248,54,1035,73274.21,Swiggy,NET BANKING,Germany,ATM,2026-05-13T04:15:41.000Z,INTERNATIONAL
12265,30,1048,25126.71,Uber,CARD,Russia,Laptop,2026-05-11T03:42:47.000Z,INTERNATIONAL
12272,6,1115,79827.19,Nike,UPI,Germany,Mobile,2026-05-13T21:15:03.000Z,INTERNATIONAL
12304,52,1076,3512.37,Walmart,CARD,Uk,Laptop,2026-04-26T20:03:43.000Z,INTERNATIONAL
12305,85,1012,14725.31,Zomato,NET BANKING,Usa,ATM,2026-04-29T01:29:00.000Z,INTERNATIONAL
12315,22,1065,69693.29,Amazon,NET BANKING,Singapore,Tablet,2026-04-29T17:01:01.000Z,INTERNATIONAL
12318,71,1181,41065.52,Petrol Pump,NET BANKING,Germany,Laptop,2026-05-06T15:23:21.000Z,INTERNATIONAL
12333,57,1070,52703.64,Netflix,CARD,Germany,Tablet,2026-04-21T11:47:12.000Z,INTERNATIONAL
12348,49,1022,72129.81,Netflix,CARD,Usa,Laptop,2026-05-08T08:44:16.000Z,INTERNATIONAL
12365,29,1046,89455.23,Amazon,ATM WITHDRAWAL,Germany,Mobile,2026-05-07T02:45:36.000Z,INTERNATIONAL
12366,45,1017,2889.56,Amazon,ATM WITHDRAWAL,Uk,ATM,2026-04-24T00:48:50.000Z,INTERNATIONAL
12446,18,1142,32711.67,Apple Store,CARD,Russia,ATM,2026-04-28T12:35:32.000Z,INTERNATIONAL
12466,45,1191,40797.46,Walmart,ATM WITHDRAWAL,Russia,Laptop,2026-04-21T19:55:34.000Z,INTERNATIONAL
12467,90,1136,34936.68,Swiggy,CARD,India,Mobile,2026-05-11T06:51:11.000Z,NORMAL
12479,73,1046,46596.73,Uber,ATM WITHDRAWAL,Uk,Mobile,2026-04-18T20:30:15.000Z,INTERNATIONAL
12513,18,1066,8329.48,Flipkart,ATM WITHDRAWAL,Germany,Tablet,2026-04-21T06:10:56.000Z,INTERNATIONAL
12522,35,1129,73869.59,Amazon,UPI,Usa,ATM,2026-04-29T01:29:35.000Z,INTERNATIONAL
12523,100,1193,87660.82,Nike,NET BANKING,Uk,Tablet,2026-04-29T06:42:55.000Z,INTERNATIONAL
12536,28,1098,55550.9,Walmart,UPI,Germany,ATM,2026-05-15T04:36:21.000Z,INTERNATIONAL
12542,28,1104,74372.72,Zomato,UPI,Russia,Mobile,2026-04-26T18:05:39.000Z,INTERNATIONAL
12568,78,1168,27290.62,Flipkart,ATM WITHDRAWAL,Russia,ATM,2026-05-17T04:36:29.000Z,INTERNATIONAL
12581,47,1104,75862.36,Netflix,CARD,Uk,Laptop,2026-04-26T17:03:58.000Z,INTERNATIONAL
12594,24,1149,56374.71,Amazon,UPI,Uk,Mobile,2026-04-23T13:54:38.000Z,INTERNATIONAL
12595,81,1138,77905.39,Swiggy,ATM WITHDRAWAL,Uk,Mobile,2026-05-05T00:27:19.000Z,INTERNATIONAL
12603,71,1074,97558.87,Swiggy,CARD,India,Laptop,2026-04-20T22:55:06.000Z,NORMAL
12692,7,1023,51516.05,Netflix,CARD,Germany,Mobile,2026-04-29T09:26:48.000Z,INTERNATIONAL
12699,50,1157,55826.55,Zomato,NET BANKING,Russia,ATM,2026-04-18T23:13:03.000Z,INTERNATIONAL
12703,65,1091,73739.31,Nike,ATM WITHDRAWAL,Usa,Laptop,2026-04-19T17:00:38.000Z,INTERNATIONAL
12705,85,1101,94052.52,Walmart,ATM WITHDRAWAL,India,Laptop,2026-04-28T11:53:46.000Z,NORMAL
12708,92,1045,81051.32,Walmart,NET BANKING,Russia,Mobile,2026-04-27T10:07:51.000Z,INTERNATIONAL
12716,19,1075,77989.14,Flipkart,NET BANKING,Germany,Tablet,2026-05-07T00:47:07.000Z,INTERNATIONAL
12774,78,1034,3971.84,Petrol Pump,CARD,Usa,ATM,2026-05-08T21:39:27.000Z,INTERNATIONAL
12816,100,1073,40392.55,Petrol Pump,NET BANKING,Germany,Mobile,2026-05-01T23:34:00.000Z,INTERNATIONAL
12821,45,1150,76171.86,Netflix,ATM WITHDRAWAL,Russia,Tablet,2026-05-16T10:39:28.000Z,INTERNATIONAL
12880,55,1198,53303.08,Amazon,CARD,India,Mobile,2026-04-30T07:33:13.000Z,NORMAL
12889,54,1160,81523.19,Apple Store,CARD,Uk,ATM,2026-04-26T01:07:19.000Z,INTERNATIONAL
12945,8,1040,65703.3,Swiggy,UPI,Singapore,Laptop,2026-04-19T22:21:12.000Z,INTERNATIONAL
12956,37,1139,33993.29,Netflix,NET BANKING,Russia,Tablet,2026-05-08T08:46:57.000Z,INTERNATIONAL
12961,74,1190,80811.49,Apple Store,UPI,Russia,ATM,2026-05-18T08:54:38.000Z,INTERNATIONAL
12965,87,1117,22037.22,Swiggy,UPI,Usa,Laptop,2026-05-16T16:13:21.000Z,INTERNATIONAL
12966,2,1069,35700.6,Apple Store,CARD,India,Laptop,2026-04-20T08:28:51.000Z,NORMAL
12971,42,1133,81154.28,Walmart,NET BANKING,Usa,Mobile,2026-05-01T04:08:15.000Z,INTERNATIONAL
12978,42,1087,6019.47,Apple Store,ATM WITHDRAWAL,Uk,Tablet,2026-04-19T09:20:41.000Z,INTERNATIONAL
13009,12,1113,31738.95,Nike,UPI,India,Tablet,2026-04-19T21:33:22.000Z,NORMAL
13011,61,1173,70361.33,Swiggy,CARD,Russia,Tablet,2026-04-23T10:23:00.000Z,INTERNATIONAL
13015,21,1041,76886.99,Amazon,ATM WITHDRAWAL,Russia,ATM,2026-04-26T23:30:27.000Z,INTERNATIONAL
13017,35,1171,74967.8,Walmart,NET BANKING,Uk,Mobile,2026-04-19T15:28:06.000Z,INTERNATIONAL
13065,2,1085,62002.78,Swiggy,ATM WITHDRAWAL,Russia,Laptop,2026-04-28T14:49:03.000Z,INTERNATIONAL
13073,21,1047,13363.1,Swiggy,UPI,Usa,Mobile,2026-04-18T15:49:09.000Z,INTERNATIONAL
13090,12,1099,86396.91,Amazon,UPI,Germany,Mobile,2026-05-08T01:22:25.000Z,INTERNATIONAL
13094,19,1080,47062.77,Flipkart,NET BANKING,Usa,Mobile,2026-05-14T02:08:32.000Z,INTERNATIONAL
13140,28,1065,44968.28,Petrol Pump,UPI,Singapore,Laptop,2026-05-16T04:39:02.000Z,INTERNATIONAL
13160,56,1172,33281.55,Petrol Pump,UPI,Usa,ATM,2026-05-12T09:47:19.000Z,INTERNATIONAL
13201,80,1184,53389.75,Nike,UPI,Uk,ATM,2026-05-09T15:21:20.000Z,INTERNATIONAL
13203,63,1177,11243.81,Uber,ATM WITHDRAWAL,Russia,ATM,2026-04-28T11:21:33.000Z,INTERNATIONAL
13204,72,1075,79617.98,Walmart,CARD,Russia,Tablet,2026-04-23T07:06:55.000Z,INTERNATIONAL
13208,89,1184,83948.1,Walmart,UPI,India,ATM,2026-04-26T21:54:26.000Z,NORMAL
13213,96,1190,84736.31,Amazon,UPI,Germany,Laptop,2026-04-25T23:41:21.000Z,INTERNATIONAL
13269,86,1185,77068.61,Nike,ATM WITHDRAWAL,Singapore,Mobile,2026-04-28T15:10:50.000Z,INTERNATIONAL
